#BONDS
#ATOM#1	ATOM#2	Kb(Kcal/mol/A**2)	BOND_LENGTH(A)
CST	OST	937.96	1.1600	
CN2	CN3	HN3	38.0	120.1	
CN3	CN3	HN3	38.0	122.1	
HN3	CN3	NN2	44.0	115.0	
CN1T	NN2B	CN3	70.0	122.0	
NN2B	CN1T	NN2U	50.0	114.0	
CN1T	NN2U	CN1	50.0	130.2	
NN2U	CN1	CN3	70.0	112.6	
CN1	CN3	CN3	100.0	117.6	
CN3	CN3	NN2B	100.0	123.6	
CN1T	NN2B	HN2	40.5	122.0	
CN3	NN2B	HN2	32.0	116.0	
NN2B	CN1T	ON1	100.0	121.6	
NN2U	CN1T	ON1	100.0	124.4	
CN1T	NN2U	HN2	40.5	114.4	
CN1	NN2U	HN2	40.5	115.4	
NN2U	CN1	ON1	100.0	121.9	
CN3	CN1	ON1	100.0	125.5	
CN1	CN3	HN3	30.0	120.3	
HN3	CN3	NN2B	30.0	114.3	
CN3T	CN1	NN2U	70.0	113.5	
CN1	CN3T	CN3	120.0	116.7	
CN3T	CN3	NN2B	120.0	123.6	
CN3T	CN1	ON1	100.0	124.6	
CN1	CN3T	CN9	38.0	118.7	
CN3	CN3T	CN9	38.0	124.6	
CN3T	CN3	HN3	30.0	122.1	
HN3	CN4	NN3I	35.0	116.75	
HN3	CN4	NN2G	35.0	115.75	
NN3I	CN4	NN2G	80.0	127.5	
CN5G	CN5	NN3I	100.0	127.0	
NN2B	CN5	NN3I	140.0	128.4	
CN1	NN2G	CN4	125.0	129.7	
CN4	NN2G	HN2	40.5	117.0	
CN4	NN3I	CN5	90.0	108.4	
CN1T	NN2B	CN9	70.0	116.0	
CN3	NN2B	CN9	70.0	122.0	
CN1	NN2	CN9	70.0	115.4	
CN3	NN2	CN9	70.0	120.5	
CN5	NN2	CN9	70.0	125.9	
CN4	NN2	CN9	70.0	127.8	
CN5	NN2B	CN9	70.0	125.9	
CN4	NN2B	CN9	70.0	126.9	
CN5	NN2B	CN8	70.0	125.9	
CN4	NN2B	CN8	70.0	126.9	
NN2B	CN8	CN9	70.0	113.7	
CN1T	NN2B	CN7B	45.0	118.4	
CN3	NN2B	CN7B	45.0	119.6	
CN1	NN2	CN7B	45.0	120.0	
CN3	NN2	CN7B	45.0	115.9	
CN5	NN2	CN7B	45.0	126.1	
CN4	NN2	CN7B	45.0	127.6	
CN5	NN2B	CN7B	45.0	126.5	
CN4	NN2B	CN7B	45.0	126.3	
ON6	CN7B	NN2	110.0	108.0	
ON6B	CN7B	NN2	110.0	112.0	
CN8	CN7B	NN2	110.0	113.7	
CN7	CN7B	NN2	110.0	111.0	
CN7B	CN7B	NN2	110.0	111.0	
CN7C	CN7B	NN2	110.0	111.0	
ON6	CN7B	NN2B	110.0	108.0	
ON6B	CN7B	NN2B	110.0	112.0	
CN8	CN7B	NN2B	110.0	113.7	
CN7	CN7B	NN2B	110.0	111.0	
CN7B	CN7B	NN2B	110.0	111.0	
CN7C	CN7B	NN2B	110.0	111.0	
HN7	CN7B	NN2	43.0	111.0	
HN7	CN7B	NN2B	43.0	111.0	
CN3	CN1A	NN1	85.0	113.0	
CN3	CN1A	ON1	85.0	118.5	
NN1	CN1A	ON1	85.0	128.5	
CN3D	CN2	NN1	110.0	116.4	
CN3D	CN2	NN3	30.0	121.3	
CN1A	CN3	CN3C	5.0	107.8	
CN1A	CN3	CN8	125.0	124.2	
CN2	CN3D	CN3	100.0	117.8	
CN2	CN3D	CN9	40.0	118.0	
CN3A	CN3	CN1A	40.0	110.2	
CN3B	CN3	CN1A	10.0	131.8	
CN3	CN3A	CN3	50.0	118.0	
CN3A	CN3	CN3B	40.0	118.0	
CN3	CN3	CN8	53.5	108.5	
CN3B	CN3	CN8	53.5	108.5	
CN3C	CN3	CN8	43.5	128.0	
CN3	CN3D	CN9	40.0	124.2	
CN3D	CN3	HN3	30.0	122.0	
CN3B	CN3	HN3B	30.0	122.0	
CN3A	CN3	HN3B	30.0	119.0	
CN3	CN3C	HN3	42.0	119.0	
CN3C	CN3	HN3	42.0	116.0	
CN3	CN3A	HN3B	80.0	121.0	
CN3	CN3B	HN3B	80.0	120.5	
CN3	CN3B	NN2	120.0	122.0	
CN3	CN3C	NN2	60.0	122.0	
CN3D	CN3	NN2	100.0	124.2	
CN8	CN3	HN3	30.0	116.0	
HN3B	CN3B	NN2	80.0	117.5	
HN3	CN3C	NN2	42.0	119.0	
CN3	CN8	CN3	125.0	108.0	
CN3	CN8	HN8	55.0	110.10	
CN9	CN8	HN8	34.6	110.10	
CN9	CN7	HN7	34.6	110.10	
HN8	CN8	NN2	33.43	110.1	
HN8	CN8	ON5	45.9	108.89	
CN3	CN9	HN9	33.43	110.10	
CN3T	CN9	HN9	33.43	110.10	
CN3D	CN9	HN9	33.43	110.10	
CN8	CN9	HN9	34.60	110.10	
HN9	CN9	CN7	33.43	110.1	
HN9	CN9	NN2	33.43	110.1	
HN9	CN9	NN2B	33.43	110.1	
HN8	CN8	NN2B	33.43	110.1	
HN9	CN9	ON2	60.0	109.5	
CN1A	NN1	HN1	35.0	120.0	
CN3B	NN2	CN3B	30.0	120.0	
CN3C	NN2	CN3C	20.0	114.0	
CN3B	NN2	CN7B	70.0	121.7	
CN3C	NN2	CN7B	70.0	121.7	
CN3B	NN2	HN2	32.0	117.4	
CN3C	NN2	HN2	39.0	123.0	
HN1	NN5	HN1	39.0	106.0	
CN9	ON2	P	20.0	120.0	
CN9	ON2	P2	20.0	120.0	
P	ON2	P	15.0	140.0	
P2	ON2	P	15.0	140.0	
P3	ON2	P	45.0	140.0	
P2	ON2	P2	15.0	140.0	
HN4	ON4	P	30.0	115.0	
HN4	ON4	P3	30.0	120.0	
HN5	ON5	CN8	57.5	106.0	
HN5	ON5	CN9	57.5	106.0	
ON2	P	ON2	80.0	104.3	
ON2	P	ON4	48.1	108.0	
ON2	P3	ON4	48.1	100.0	
ON3	P	ON4	98.9	108.23	
ON3	P3	ON4	98.9	108.23	
ON4	P	ON4	98.9	104.0	
ON2	P2	ON2	80.0	104.3	
ON2	P2	ON3	88.9	111.6	
ON2	P3	ON3	88.9	105.0	
ON3	P2	ON3	104.0	120.0	
ON3	P3	ON3	104.0	120.0	
CN7	CN8	ON5	75.7	110.10	
HN9	CN9	HN9	35.500	108.40	
CN7	ON6	CN7B	110.0	108.0	
ON6	CN7B	CN8	90.0	102.0	
CN7B	CN8	CN7	80.00	100.0	
CN8	CN7	CN7	60.00	102.0	
CN9	CN7	CN7	60.00	102.0	
CN7	CN7	ON6	100.0	104.0	
CN8	CN7	ON6	100.0	104.0	
HN7	CN7	ON6	45.2	107.24	
HN7	CN7B	ON6	45.2	107.24	
HN7	CN7	CN7	40.0	108.00	
CN7B	CN8	HN8	33.4	110.10	
CN8	CN7B	HN7	33.4	110.10	
HN7	CN7	CN8	34.5	110.1	
HN8	CN8	CN7	34.53	110.10	
HN8	CN8	CN8	34.53	110.10	
HN8	CN8	HN8	35.5	109.00	
HN7	CN7	HN7	35.5	109.00	
CN7	ON6B	CN7B	110.0	115.0	
CN7	CN7	ON6B	100.0	110.0	
CN8	CN7	ON6B	100.0	110.0	
ON6B	CN7B	CN7B	90.0	106.0	
CN7B	CN7B	CN7	110.0	96.0	
CN7B	CN7B	CN8	110.0	96.0	
CN7B	CN7	CN7	60.0	100.0	
HN7	CN7	ON6B	45.2	107.24	
HN7	CN7B	ON6B	45.2	107.24	
CN7B	CN7B	HN7	33.4	110.10	
HN7	CN7B	HN7	35.5	109.00	
ON6	CN7B	CN7C	90.0	102.0	
CN7B	CN7C	CN7	80.00	100.0	
CN7C	CN7	CN7	60.00	102.0	
CN7B	CN7C	HN7	33.4	110.10	
CN7C	CN7B	HN7	33.4	110.10	
HN7	CN7	CN7C	34.5	110.1	
HN7	CN7C	CN7	34.53	110.10	
HN7	CN7C	HN7	35.5	109.00	
ON6	CN7	CN8B	90.0	108.2	
ON6	CN7	CN9	90.0	108.2	
CN7	CN7	CN8B	45.0	110.0	
CN8	CN7	CN8B	58.35	113.60	
CN7	CN8B	ON2	70.0	108.4	
CN7	CN7	ON2	115.0	109.7	
CN7	CN7B	ON2	115.0	109.7	
CN7B	CN7B	ON2	115.0	109.7	
CN8	CN7B	ON2	115.0	109.7	
CN8	CN7	ON2	115.0	109.7	
CN8B	ON2	P	20.0	120.0	
CN7	ON2	P	20.0	120.0	
CN7B	ON2	P	20.0	120.0	
HN7	CN7	CN8B	34.5	110.1	
HN8	CN8B	ON2	60.0	109.5	
HN5	ON5	CN8B	57.5	106.0	
HN8	CN8B	HN8	35.5	109.0	
HN8	CN8B	CN7	34.53	110.1	
HN7	CN7	ON2	60.0	109.5	
HN7	CN7B	ON2	60.0	109.5	
CN7	CN8B	ON5	75.7	110.10	
CN8B	CN7	ON5	90.0	108.2	
HN8	CN8B	ON5	45.9	108.89	
ON5	CN7	CN8	75.7	110.0	
ON5	CN7	CN7	75.7	110.1	
HN7	CN7	ON5	60.0	109.5	
HN5	ON5	CN7	57.5	109.0	
ON6B	CN7	CN8B	90.0	108.2	
ON6B	CN7	CN9	90.0	108.2	
ON2	CN7	CN7B	90.0	110.0	
ON5	CN7	CN7B	90.0	110.0	
ON5	CN7B	CN7B	80.0	108.4	
ON5	CN7B	CN7	90.0	108.0	
HN7	CN7B	ON5	60.0	109.5	
HN5	ON5	CN7B	57.5	109.0	
HN7	CN7B	CN7	34.53	110.10	
HN7	CN7	CN7B	34.53	110.10	
CN7C	CN7	ON2	115.0	109.7	
ON5	CN7	CN7C	75.7	110.0	
ON5	CN7C	CN7B	80.0	108.4	
ON5	CN7C	CN7	90.0	108.0	
HN7	CN7C	ON5	60.0	109.5	
HN5	ON5	CN7C	57.5	109.0	
CN8	ON2	P	20.0	120.0	
ON2	P	ON3	98.9	111.6	
ON3	P	ON3	120.0	120.0	
HN8	CN8	ON2	60.0	109.5	
ON5	P	ON3	98.9	111.6	
ON6	CN7B	NR1	140.0	108.00	
ON6B	CN7B	NR1	140.0	108.00	
CN8	CN7B	NR1	140.0	113.70	
CN7B	CN7B	NR1	140.0	113.70	
CN7B	NR1	CPH2	130.0	127.00	
CN7B	NR1	CPH1	130.0	126.00	
HN7	CN7B	NR1	30.0	106.3	
ON6	CN7B	CN7	120.0	106.25	
CN7B	CN7	CN8	58.35	113.6	
HCA1A	CC31A	CC31A	34.500	110.10	
HCA1A	CC31A	CC32A	34.500	110.10	
HCA1A	CC31A	CC33A	34.500	110.10	
HCA2A	CC32A	CC30A	26.500	110.10	
HCA2A	CC32A	CC31A	26.500	110.10	
HCA2A	CC32A	CC32A	26.500	110.10	
HCA2A	CC32A	CC33A	34.600	110.10	
HCA3A	CC33A	CC30A	33.430	110.10	
HCA3A	CC33A	CC31A	33.430	110.10	
HCA3A	CC33A	CC32A	34.600	110.10	
HCA3A	CC33A	CC33A	37.500	110.10	
HCA2A	CC32A	HCA2A	35.50	109.00	
HCA3A	CC33A	HCA3A	35.50	108.40	
CC30A	CC32A	CC32A	58.350	113.50	
CC30A	CC32A	CC33A	58.350	113.50	
CC31A	CC31A	CC31A	53.350	111.00	
CC31A	CC31A	CC32A	58.350	113.50	
CC31A	CC31A	CC33A	53.350	108.50	
CC31A	CC32A	CC31A	58.350	113.50	
CC31A	CC32A	CC32A	58.350	113.50	
CC31A	CC32A	CC33A	58.350	113.50	
CC32A	CC30A	CC32A	58.350	113.50	
CC32A	CC31A	CC32A	58.350	113.50	
CC32A	CC32A	CC32A	58.350	113.60	
CC32A	CC32A	CC33A	58.000	115.00	
CC33A	CC30A	CC33A	53.350	114.00	
CC33A	CC31A	CC32A	53.350	114.00	
CC33A	CC31A	CC33A	53.350	114.00	
CC33A	CC32A	CC33A	53.350	114.00	
CC325A	CC325A	CC325A	58.00	106.00	
HCA25A	CC325A	CC325A	35.00	111.40	
HCA25A	CC325A	HCA25A	38.50	106.80	
HCA25A	CC325B	CC325B	35.00	111.40	
HCA25A	CC325B	HCA25A	38.50	106.80	
CC325B	CC325B	CC325B	58.00	109.50	
OC305A	CC325B	CC325B	45.00	111.10	
CC325B	OC305A	CC325B	95.00	111.00	
HCA25A	CC325B	OC305A	70.00	107.30	
HCA3A	CC33A	CC325B	34.600	110.10	
CC325B	CC325B	CC33A	58.000	115.00	
HCA25A	CC325B	CC33A	34.600	110.10	
OC305A	CC325B	CC33A	45.00	111.50	
CC32A	OC30A	CC32A	95.00	109.70	
CC33A	OC30A	CC32A	95.00	109.70	
CC33A	OC30A	CC33A	95.00	109.70	
OC30A	CC32A	CC32A	45.00	111.50	
OC30A	CC32A	CC33A	45.00	111.50	
HCA3A	CC33A	OC30A	60.00	109.50	
HCA2A	CC32A	OC30A	60.00	109.50	
HCA2A	CC326A	CC326A	34.500	110.10	
HCA2A	CC326A	HCA2A	35.50	109.00	
CC326A	CC326A	CC326A	58.350	112.00	
OC30A	CC326A	CC326A	45.00	111.50	
CC326A	OC30A	CC326A	95.00	109.70	
HCA2A	CC326A	OC30A	45.00	109.50	
#
#
#Dihedrals
#ATOM#1	ATOM#2	ATOM#3	ATOM#4	Kchi(Kcal/mol)	n	delta(degrees)
X	FE	SS	X	0.0000	4	0.00	
X	CS	SS	X	0.0000	3	0.20	
C	CT1	NH1	C	0.2000	1	180.00	
C	CT2	NH1	C	0.2000	1	180.00	
C	N	CP1	C	0.8000	3	0.00	
CA	CA	CA	CA	3.1000	2	180.00	
CA	CPT	CPT	CA	3.1000	2	180.00	
CA	CT2	CT1	C	0.0400	3	0.00	
CA	CY	CPT	CA	3.0000	2	180.00	
CA	NY	CPT	CA	3.0000	2	180.00	
CC	CP1	N	C	0.8000	3	0.00	
CC	CT1	CT2	CA	0.0400	3	0.00	
CC	CT1	NH1	C	0.2000	1	180.00	
CC	CT2	NH1	C	0.2000	1	180.00	
CD	CP1	N	C	0.0000	1	180.00	
CD	CT1	NH1	C	0.2000	1	180.00	
CD	CT2	NH1	C	0.2000	1	180.00	
CE1	CE1	CT3	HA	0.0300	3	0.00	
CE2	CE1	CT2	CT3	0.5000	1	180.00	
CE2	CE1	CT2	HA	0.1200	3	0.00	
CE2	CE1	CT3	HA	0.0500	3	180.00	
CP1	C	N	CP1	2.7500	2	180.00	
CP2	CP1	N	C	0.8000	3	0.00	
CP2	CP3	N	C	0.0000	3	180.00	
CP2	CP3	N	CP1	0.1000	3	0.00	
CP2	CP3	NP	CP1	0.0800	3	0.00	
CP3	N	C	CP1	2.7500	2	180.00	
CP3	N	CP1	C	0.1000	3	0.00	
CP3	N	CP1	CC	0.1000	3	0.00	
CP3	N	CP1	CP2	0.1000	3	0.00	
CP3	NP	CP1	C	0.0800	3	0.00	
CP3	NP	CP1	CC	0.0800	3	0.00	
CP3	NP	CP1	CD	0.0800	3	0.00	
CP3	NP	CP1	CP2	0.0800	3	0.00	
CPH2	NR1	CPH1	CPH1	14.0000	2	180.00	
CPH2	NR2	CPH1	CPH1	14.0000	2	180.00	
CPH2	NR3	CPH1	CPH1	12.0000	2	180.00	
CPT	CA	CA	CA	3.1000	2	180.00	
CPT	CPT	CA	CA	3.1000	2	180.00	
CPT	CPT	CY	CA	4.0000	2	180.00	
CPT	CPT	NY	CA	5.0000	2	180.00	
CT1	C	N	CP1	2.7500	2	180.00	
CT1	C	N	CP3	2.7500	2	180.00	
CT1	C	NH1	CT1	1.6000	1	0.00	
CT1	CT1	NH1	C	1.8000	1	0.00	
CT1	CT2	CA	CA	0.2300	2	180.00	
CT1	CT2	CPH1	CPH1	0.2000	1	0.00	
CT1	CT2	CY	CA	0.2300	2	180.00	
CT1	CT2	CY	CPT	0.2300	2	180.00	
CT1	NH1	C	CP1	1.6000	1	0.00	
CT2	C	N	CP1	2.7500	2	180.00	
CT2	C	N	CP3	2.7500	2	180.00	
CT2	C	NH1	CT1	1.6000	1	0.00	
CT2	C	NH1	CT2	1.6000	1	0.00	
CT2	C	NH1	CT3	1.6000	1	0.00	
CT2	CA	CA	CA	3.1000	2	180.00	
CT2	CPH1	NR1	CPH2	3.0000	2	180.00	
CT2	CPH1	NR2	CPH2	3.0000	2	180.00	
CT2	CPH1	NR3	CPH2	2.5000	2	180.00	
CT2	CT1	NH1	C	1.8000	1	0.00	
CT2	CT2	CPH1	CPH1	0.4000	1	0.00	
CT2	CT2	CT2	CT2	0.1500	1	0.00	
CT2	CT2	NH1	C	1.8000	1	0.00	
CT2	CY	CPT	CA	3.0000	2	180.00	
CT2	CY	CPT	CPT	3.0000	2	180.00	
CT2	NH1	C	CP1	1.6000	1	0.00	
CT2	NH1	C	CT1	1.6000	1	0.00	
CT2	SM	SM	CT2	1.0000	1	0.00	
CT3	C	N	CP1	2.7500	2	180.00	
CT3	C	N	CP3	2.7500	2	180.00	
CT3	C	NH1	CT1	1.6000	1	0.00	
CT3	C	NH1	CT2	1.6000	1	0.00	
CT3	C	NH1	CT3	1.6000	1	0.00	
CT3	CA	CA	CA	3.1000	2	180.00	
CT3	CE1	CE2	HE2	5.2000	2	180.00	
CT3	CPH1	NR1	CPH2	3.0000	2	180.00	
CT3	CT1	NH1	C	1.8000	1	0.00	
CT3	CT2	CA	CA	0.2300	2	180.00	
CT3	CT2	CPH1	CPH1	0.2000	1	0.00	
CT3	CT2	CT2	CT2	0.1500	1	0.00	
CT3	CT2	CT2	CT3	0.1500	1	0.00	
CT3	CT2	CY	CA	0.2300	2	180.00	
CT3	CT2	CY	CPT	0.2300	2	180.00	
CT3	CT2	S	CT3	0.2400	1	180.00	
CT3	NH1	C	CP1	1.6000	1	0.00	
CT3	NH1	C	CT1	1.6000	1	0.00	
CT3	S	CT2	CT2	0.2400	1	180.00	
CT3	SM	SM	CT3	1.0000	1	0.00	
CY	CA	NY	CPT	5.0000	2	180.00	
CY	CPT	CA	CA	3.0000	2	180.00	
CY	CPT	CPT	CA	10.0000	2	180.00	
H	NH1	C	CP1	2.5000	2	180.00	
H	NH1	C	CT1	2.5000	2	180.00	
H	NH1	C	CT2	2.5000	2	180.00	
H	NH1	C	CT3	2.5000	2	180.00	
H	NH1	CT1	C	0.0000	1	0.00	
H	NH1	CT1	CC	0.0000	1	0.00	
H	NH1	CT1	CD	0.0000	1	0.00	
H	NH1	CT1	CT1	0.0000	1	0.00	
H	NH1	CT1	CT2	0.0000	1	0.00	
H	NH1	CT1	CT3	0.0000	1	0.00	
H	NH1	CT2	C	0.0000	1	0.00	
H	NH1	CT2	CC	0.0000	1	0.00	
H	NH1	CT2	CD	0.0000	1	0.00	
H	NH1	CT2	CT2	0.0000	1	0.00	
H	NH1	CT2	CT3	0.0000	1	0.00	
H	NH2	CC	CT1	1.4000	2	180.00	
H	NH2	CC	CT2	1.4000	2	180.00	
H	NH2	CC	CT3	1.4000	2	180.00	
H	NH2	CC	CP1	2.5000	2	180.00	
H	NR1	CPH1	CPH1	1.0000	2	180.00	
H	NR1	CPH1	CT2	1.0000	2	180.00	
H	NR1	CPH1	CT3	1.0000	2	180.00	
H	NR3	CPH1	CPH1	1.4000	2	180.00	
H	NR3	CPH1	CT2	3.0000	2	180.00	
H	NR3	CPH1	CT3	3.0000	2	180.00	
H	NY	CA	CY	0.8000	2	180.00	
H	NY	CPT	CA	0.8000	2	180.00	
H	NY	CPT	CPT	0.8000	2	180.00	
H	OH1	CA	CA	0.9900	2	180.00	
H	OH1	CT1	CT1	1.3300	1	0.00	
H	OH1	CT1	CT3	1.3300	1	0.00	
H	OH1	CT2	CT1	1.3000	1	0.00	
H	OH1	CT2	CT2	1.3000	1	0.00	
H	OH1	CT2	CT3	1.3000	1	0.00	
HA	CA	CA	CA	3.5000	2	180.00	
HA	CA	CA	CPT	3.5000	2	180.00	
HA	CA	CA	HA	2.5000	2	180.00	
HA	CA	CPT	CPT	3.0000	2	180.00	
HA	CA	CPT	CY	4.0000	2	180.00	
HA	CA	CY	CPT	1.2000	2	180.00	
HA	CA	CY	CT2	1.2000	2	180.00	
HA	CA	NY	CPT	3.0000	2	180.00	
HA	CA	NY	H	1.0000	2	180.00	
HA	CC	NH2	H	1.4000	2	180.00	
HA	CP3	N	C	0.0000	3	180.00	
HA	CP3	N	CP1	0.1000	3	0.00	
HA	CP3	NP	CP1	0.0800	3	0.00	
HA	CT1	CT2	CA	0.0400	3	0.00	
HA	CT2	CPH1	CPH1	0.0000	3	0.00	
HA	CT2	CY	CA	0.2500	2	180.00	
HA	CT2	CY	CPT	0.2500	2	180.00	
HA	CT2	NH1	C	0.0000	3	0.00	
HA	CT2	NH1	H	0.0000	3	0.00	
HA	CT2	S	CT3	0.2800	3	0.00	
HA	CT3	CPH1	CPH1	0.0000	3	0.00	
HA	CT3	CS	HA	0.1600	3	0.00	
HA	CT3	CT2	CA	0.0400	3	0.00	
HA	CT3	NH1	C	0.0000	3	0.00	
HA	CT3	NH1	H	0.0000	3	0.00	
HA	CT3	S	CT2	0.2800	3	0.00	
HA	CY	CA	CPT	1.2000	2	180.00	
HA	CY	CA	HA	1.2000	2	180.00	
HA	CY	CPT	CA	3.0000	2	180.00	
HA	CY	CPT	CPT	3.0000	2	180.00	
HE1	CE1	CE1	HE1	1.0000	2	180.00	
CT3	CE1	CE1	HE1	1.0000	2	180.00	
HE1	CE1	CE2	HE2	5.2000	2	180.00	
HE1	CE1	CT2	HA	0.0000	3	0.00	
HE1	CE1	CT2	CT3	0.1200	3	0.00	
HE1	CE1	CT3	HA	0.0000	3	0.00	
HE2	CE2	CE1	CT2	5.2000	2	180.00	
HE2	CE2	CE1	CPB	5.2000	2	180.00	
HB	CP1	N	C	0.8000	3	0.00	
HB	CP1	N	CP3	0.1000	3	0.00	
HB	CP1	NP	CP3	0.0800	3	0.00	
HB	CT1	NH1	C	0.0000	1	0.00	
HB	CT1	NH1	H	0.0000	1	0.00	
HB	CT2	NH1	C	0.0000	1	0.00	
HB	CT2	NH1	H	0.0000	1	0.00	
HB	CT3	NH1	C	0.0000	1	0.00	
HB	CT3	NH1	H	0.0000	1	0.00	
HC	NH2	CT2	CT2	0.1100	3	0.00	
HC	NH2	CT2	HA	0.1100	3	0.00	
HC	NH2	CT2	HB	0.1100	3	0.00	
HC	NH2	CT2	CD	0.1100	3	0.00	
HC	NP	CP1	C	0.0800	3	0.00	
HC	NP	CP1	CC	0.0800	3	0.00	
HC	NP	CP1	CD	0.0800	3	0.00	
HC	NP	CP1	CP2	0.0800	3	0.00	
HC	NP	CP1	HB	0.0800	3	0.00	
HC	NP	CP3	CP2	0.0800	3	0.00	
HC	NP	CP3	HA	0.0800	3	0.00	
HP	CA	CA	CA	4.2000	2	180.00	
HP	CA	CA	CPT	3.0000	2	180.00	
HP	CA	CA	CT2	4.2000	2	180.00	
HP	CA	CA	CT3	4.2000	2	180.00	
HP	CA	CA	HP	2.4000	2	180.00	
HP	CA	CPT	CPT	3.0000	2	180.00	
HP	CA	CPT	CY	3.0000	2	180.00	
HP	CA	CY	CPT	2.0000	2	180.00	
HP	CA	CY	CT2	1.2000	2	180.00	
HP	CA	NY	CPT	2.0000	2	180.00	
HP	CA	NY	H	0.4000	2	180.00	
HP	CY	CA	HP	1.0000	2	180.00	
HP	CY	CPT	CA	2.8000	2	180.00	
HP	CY	CPT	CPT	2.8000	2	180.00	
HR1	CPH1	CPH1	CT2	1.0000	2	180.00	
HR1	CPH1	CPH1	CT3	1.0000	2	180.00	
HR1	CPH1	CPH1	HR1	1.0000	2	180.00	
HR1	CPH1	NR3	CPH2	2.5000	2	180.00	
HR1	CPH1	NR3	H	3.0000	2	180.00	
HR1	CPH2	NR1	CPH1	3.0000	2	180.00	
HR1	CPH2	NR1	H	1.0000	2	180.00	
HR1	CPH2	NR2	CPH1	3.0000	2	180.00	
HR2	CPH2	NR3	CPH1	3.0000	2	180.00	
HR2	CPH2	NR3	H	0.0000	2	180.00	
HR3	CPH1	CPH1	CT2	2.0000	2	180.00	
HR3	CPH1	CPH1	CT3	2.0000	2	180.00	
HR3	CPH1	CPH1	HR3	2.0000	2	180.00	
HR3	CPH1	NR1	CPH2	3.0000	2	180.00	
HR3	CPH1	NR1	H	1.0000	2	180.00	
HR3	CPH1	NR2	CPH2	3.0000	2	180.00	
HS	S	CT2	CT1	0.2400	1	0.00	
HS	S	CT2	CT3	0.2400	1	0.00	
HS	S	CT2	HA	0.2000	3	0.00	
HS	S	CT3	HA	0.2000	3	0.00	
N	C	CP1	CP2	0.4000	1	0.00	
N	C	CP1	HB	0.4000	1	180.00	
N	C	CP1	N	0.3000	1	0.00	
N	C	CT1	CT1	0.0000	1	0.00	
N	C	CT1	CT2	0.0000	1	0.00	
N	C	CT1	CT3	0.0000	1	0.00	
N	C	CT1	HB	0.0000	1	0.00	
N	C	CT2	HB	0.0000	1	0.00	
N	C	CT3	HA	0.0000	1	0.00	
N	CT1	CT2	CA	0.0400	3	0.00	
NH1	C	CP1	CP2	0.4000	1	0.00	
NH1	C	CP1	HB	0.4000	1	180.00	
NH1	C	CP1	N	0.3000	1	0.00	
NH1	C	CT1	CT1	0.0000	1	0.00	
NH1	C	CT1	CT2	0.0000	1	0.00	
NH1	C	CT1	CT3	0.0000	1	0.00	
NH1	C	CT1	HB	0.0000	1	0.00	
NH1	C	CT1	NH1	0.6000	1	0.00	
NH1	C	CT2	CT2	0.0000	1	0.00	
NH1	C	CT2	HA	0.0000	3	0.00	
NH1	C	CT2	HB	0.0000	1	0.00	
NH1	C	CT2	NH1	0.6000	1	0.00	
NH1	C	CT3	HA	0.0000	3	0.00	
NH1	CT1	C	N	0.4000	1	0.00	
NH1	CT2	C	N	0.4000	1	0.00	
NH2	CC	CP1	CP2	0.4000	1	0.00	
NH2	CC	CP1	HB	0.4000	1	180.00	
NH2	CC	CP1	N	0.3000	1	0.00	
NH2	CC	CT2	HA	0.0000	3	180.00	
NH3	CT1	C	N	0.4000	1	0.00	
NH3	CT1	C	NH1	0.6000	1	0.00	
NH3	CT1	CC	NH2	0.4000	1	0.00	
NH3	CT2	C	N	0.4000	1	0.00	
NH3	CT2	C	NH1	0.4000	1	0.00	
NH3	CT2	CC	NH2	0.4000	1	0.00	
NP	CP1	C	N	0.3000	1	0.00	
NP	CP1	C	NH1	0.3000	1	0.00	
NP	CP1	CC	NH2	0.3000	1	0.00	
NR1	CPH1	CPH1	CT2	3.0000	2	180.00	
NR1	CPH1	CPH1	CT3	3.0000	2	180.00	
NR1	CPH1	CPH1	HR3	3.0000	2	180.00	
NR1	CPH1	CT2	CT1	0.1900	3	0.00	
NR1	CPH1	CT2	CT2	0.1900	3	0.00	
NR1	CPH1	CT2	CT3	0.1900	3	0.00	
NR1	CPH1	CT2	HA	0.1900	3	0.00	
NR1	CPH1	CT3	HA	0.1900	3	0.00	
NR1	CPH2	NR2	CPH1	14.0000	2	180.00	
NR2	CPH1	CPH1	CT2	3.0000	2	180.00	
NR2	CPH1	CPH1	CT3	3.0000	2	180.00	
NR2	CPH1	CPH1	HR3	3.0000	2	180.00	
NR2	CPH1	CPH1	NR1	14.0000	2	180.00	
NR2	CPH1	CT2	CT1	0.1900	3	0.00	
NR2	CPH1	CT2	CT2	0.1900	3	0.00	
NR2	CPH1	CT2	CT3	0.1900	3	0.00	
NR2	CPH1	CT2	HA	0.1900	3	0.00	
NR2	CPH1	CT3	HA	0.1900	3	0.00	
NR2	CPH2	NR1	CPH1	14.0000	2	180.00	
NR2	CPH2	NR1	H	1.0000	2	180.00	
NR3	CPH1	CPH1	CT2	2.5000	2	180.00	
NR3	CPH1	CPH1	CT3	2.5000	2	180.00	
NR3	CPH1	CPH1	HR1	2.5000	2	180.00	
NR3	CPH1	CPH1	NR3	12.0000	2	180.00	
NR3	CPH1	CT2	CT1	0.1900	3	0.00	
NR3	CPH1	CT2	CT2	0.1900	3	0.00	
NR3	CPH1	CT2	CT3	0.1900	3	0.00	
